Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Prager, Ryan",TEX_AGG,Splitter,122,79.36219448275861,6.623754827586207,-2.0331627586206897,5.940376120689655,12.099590172413794,-7.720200172413794,-0.31965427931085083,0.20425298054331478
"Gilley, Cole",IND_SYC,ChangeUp,121,83.40811962962962,5.720169074074074,1.372247777777778,4.749667962962963,7.453782222222222,18.69786111111111,0.14528273766871697,0.914489874160698
"Shineflew, Jaxon",SAL_JAG,ChangeUp,121,77.52595150684931,6.082297397260273,-2.4027278082191783,4.684093698630138,10.589533424657533,-14.625967123287671,-0.6423625238797885,0.3247566347002793
"Haley, Gage",MSU_BDG,ChangeUp,121,83.65728923076924,6.5459169230769225,1.0067830769230768,5.916573846153846,8.925423076923078,13.913063076923077,-0.5629731137132395,0.8231459098743513
"O'Brien, Liam",GON_BUL,Splitter,121,84.11758,6.414525,2.163165,5.1589,-3.8135850000000002,3.46248,-0.7295157610612395,-0.925208359194352
"Andrade, Ryan ",PIT_PAN,ChangeUp,121,85.862992,5.97111,1.176884,5.718746,9.784368,14.976166000000001,0.6030170518313712,1.089614493649803
"Walker, Charlie",NOR_HUS,Splitter,121,77.83975,5.925295,0.73807,6.99034,7.684889999999999,15.516994999999998,-0.3349439689892191,1.4565817227648383
"Finnegan, Kieran",UCO_HUS,Splitter,121,78.87960333333334,6.424228888888889,-1.1480744444444444,5.486293333333333,2.7081433333333336,-14.134547777777776,-0.9924457153366819,-1.350002887915464
"LeBlanc, Max",UMA_AMH,ChangeUp,121,78.90884583333333,6.471259166666667,0.9022741666666666,6.063885833333334,14.551985833333333,12.312555833333334,-0.4065263420080669,0.9585252791711426
"Talavs, Drew",ORE_BEA,ChangeUp,121,83.81083,5.954405555555556,1.1498533333333334,5.868806666666667,10.55001,19.779420000000002,0.22945560420857802,1.2765070428699834
